"Plot Title: CCR_301"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 21978681, SEN S/N: 21978681)","Temp, °F (LGR S/N: 21978681, SEN S/N: 21978681)","Coupler Detached (LGR S/N: 21978681)","Coupler Attached (LGR S/N: 21978681)","Host Connected (LGR S/N: 21978681)","End Of File (LGR S/N: 21978681)"
1,05/14/26 01:10:00 PM,14.5982,57.096,Logged,,,
2,05/14/26 01:20:00 PM,14.6008,56.057,,,,
3,05/14/26 01:30:00 PM,14.5992,55.711,,,,
4,05/14/26 01:40:00 PM,14.5992,55.711,,,,
5,05/14/26 01:50:00 PM,14.6015,55.711,,,,
6,05/14/26 02:00:00 PM,14.6015,55.711,,,,
7,05/14/26 02:10:00 PM,14.6015,55.711,,,,
8,05/14/26 02:20:00 PM,14.6040,55.711,,,,
9,05/14/26 02:30:00 PM,14.6031,55.537,,,,
10,05/14/26 02:40:00 PM,14.6008,55.537,,,,
11,05/14/26 02:50:00 PM,14.6031,55.537,,,,
12,05/14/26 03:00:00 PM,14.6056,55.537,,,,
13,05/14/26 03:10:00 PM,14.6031,55.537,,,,
14,05/14/26 03:20:00 PM,14.6031,55.537,,,,
15,05/14/26 03:30:00 PM,14.6024,55.364,,,,
16,05/14/26 03:40:00 PM,14.6047,55.364,,,,
17,05/14/26 03:50:00 PM,14.6001,55.364,,,,
18,05/14/26 04:00:00 PM,14.6001,55.364,,,,
19,05/14/26 04:10:00 PM,14.6001,55.364,,,,
20,05/14/26 04:20:00 PM,14.6047,55.364,,,,
21,05/14/26 04:30:00 PM,14.6040,55.189,,,,
22,05/14/26 04:40:00 PM,14.6063,55.189,,,,
23,05/14/26 04:50:00 PM,14.6063,55.189,,,,
24,05/14/26 05:00:00 PM,14.6056,55.017,,,,
25,05/14/26 05:10:00 PM,14.6033,55.017,,,,
26,05/14/26 05:20:00 PM,14.6056,55.017,,,,
27,05/14/26 05:30:00 PM,14.6049,54.842,,,,
28,05/14/26 05:40:00 PM,14.6072,54.842,,,,
29,05/14/26 05:50:00 PM,14.6088,54.669,,,,
30,05/14/26 06:00:00 PM,14.6088,54.669,,,,
31,05/14/26 06:10:00 PM,14.6111,54.669,,,,
32,05/14/26 06:20:00 PM,14.6079,54.495,,,,
