"Plot Title: CCR_301"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 21978681, SEN S/N: 21978681)","Temp, °C (LGR S/N: 21978681, SEN S/N: 21978681)","Coupler Detached (LGR S/N: 21978681)","Coupler Attached (LGR S/N: 21978681)","Host Connected (LGR S/N: 21978681)","End Of File (LGR S/N: 21978681)"
1,05/14/26 02:10:00 PM,100.651,13.942,Logged,,,
2,05/14/26 02:20:00 PM,100.669,13.365,,,,
3,05/14/26 02:30:00 PM,100.658,13.173,,,,
4,05/14/26 02:40:00 PM,100.658,13.173,,,,
5,05/14/26 02:50:00 PM,100.674,13.173,,,,
6,05/14/26 03:00:00 PM,100.674,13.173,,,,
7,05/14/26 03:10:00 PM,100.674,13.173,,,,
8,05/14/26 03:20:00 PM,100.691,13.173,,,,
9,05/14/26 03:30:00 PM,100.685,13.076,,,,
10,05/14/26 03:40:00 PM,100.669,13.076,,,,
11,05/14/26 03:50:00 PM,100.685,13.076,,,,
12,05/14/26 04:00:00 PM,100.702,13.076,,,,
13,05/14/26 04:10:00 PM,100.685,13.076,,,,
14,05/14/26 04:20:00 PM,100.685,13.076,,,,
15,05/14/26 04:30:00 PM,100.680,12.980,,,,
16,05/14/26 04:40:00 PM,100.696,12.980,,,,
17,05/14/26 04:50:00 PM,100.664,12.980,,,,
18,05/14/26 05:00:00 PM,100.664,12.980,,,,
19,05/14/26 05:10:00 PM,100.664,12.980,,,,
20,05/14/26 05:20:00 PM,100.696,12.980,,,,
21,05/14/26 05:30:00 PM,100.691,12.883,,,,
22,05/14/26 05:40:00 PM,100.707,12.883,,,,
23,05/14/26 05:50:00 PM,100.707,12.883,,,,
24,05/14/26 06:00:00 PM,100.702,12.787,,,,
25,05/14/26 06:10:00 PM,100.686,12.787,,,,
26,05/14/26 06:20:00 PM,100.702,12.787,,,,
27,05/14/26 06:30:00 PM,100.697,12.690,,,,
28,05/14/26 06:40:00 PM,100.713,12.690,,,,
29,05/14/26 06:50:00 PM,100.724,12.594,,,,
30,05/14/26 07:00:00 PM,100.724,12.594,,,,
31,05/14/26 07:10:00 PM,100.740,12.594,,,,
32,05/14/26 07:20:00 PM,100.718,12.497,,,,
33,05/14/26 07:30:00 PM,100.702,12.497,,,,
34,05/14/26 07:40:00 PM,100.697,12.401,,,,
35,05/14/26 07:50:00 PM,100.729,12.401,,,,
36,05/14/26 08:00:00 PM,100.729,12.401,,,,
37,05/14/26 08:10:00 PM,100.745,12.401,,,,
38,05/14/26 08:20:00 PM,100.740,12.304,,,,
39,05/14/26 08:30:00 PM,100.756,12.304,,,,
40,05/14/26 08:40:00 PM,100.789,12.304,,,,
41,05/14/26 08:50:00 PM,100.800,12.207,,,,
42,05/14/26 09:00:00 PM,100.783,12.207,,,,
43,05/14/26 09:10:00 PM,100.800,12.207,,,,
44,05/14/26 09:20:00 PM,100.794,12.110,,,,
45,05/14/26 09:30:00 PM,100.810,12.110,,,,
46,05/14/26 09:40:00 PM,100.827,12.110,,,,
47,05/14/26 09:50:00 PM,100.810,12.110,,,,
48,05/14/26 10:00:00 PM,100.843,12.110,,,,
49,05/14/26 10:10:00 PM,100.821,12.013,,,,
