7450-055639
OS REV: 1.05 Sensor Cal: 1624981093
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1771750320,+3.44, +4.656, +0.053,+0.923
1771750920,+3.44, +4.645, +0.052,+0.923
1771751520,+3.44, +4.656, +0.052,+0.923
1771752120,+3.44, +4.635, +4.019,+0.940
1771752720,+3.44, +4.625, +2.205,+0.935
1771753320,+3.44, +4.635, +1.260,+0.931
1771753920,+3.44, +4.635, +0.701,+0.929
1771754520,+3.44, +4.625, +0.207,+0.925
1771755120,+3.44, +4.635, +0.084,+0.924
1771755720,+3.44, +4.645, +0.066,+0.923
1771756320,+3.44, +4.625, +0.054,+0.923
1771756920,+3.44, +4.645, +0.053,+0.923
1771757520,+3.44, +4.686, +0.053,+0.923
1771758120,+3.44, +4.656, +0.052,+0.923
1771758720,+3.44, +4.676, +0.053,+0.923
1771759320,+3.44, +4.666, +0.053,+0.923
1771759920,+3.44, +4.666, +0.053,+0.923
1771760520,+3.44, +4.645, +0.052,+0.923
1771761120,+3.44, +4.656, +0.054,+0.923
1771761720,+3.44, +4.666, +0.054,+0.923
1771762320,+3.44, +4.666, +0.052,+0.923
1771762920,+3.44, +4.666, +0.054,+0.923
1771763520,+3.44, +4.656, +0.052,+0.923
1771764120,+3.44, +4.666, +0.163,+0.922
1771764720,+3.44, +4.686, +0.173,+0.923
1771765320,+3.44, +4.676, +0.184,+0.922
1771765920,+3.44, +4.656, +0.225,+0.922
1771766520,+3.44, +4.686, +0.054,+0.923
1771767120,+3.44, +4.696, +0.055,+0.923
1771767720,+3.44, +4.696, +0.064,+0.923
1771768320,+3.44, +4.696, +0.062,+0.923
1771768920,+3.44, +4.696, +0.076,+0.923
1771769520,+3.44, +4.696, +0.443,+0.918
1771770120,+3.44, +4.696, +0.517,+0.919
1771770720,+3.44, +4.696, +0.672,+0.914
1771771320,+3.44, +4.686, +1.899,+0.884
1771771920,+3.44, +4.716, +2.296,+0.888
